product,page,page_title,section,item,attribute,value,doc_url
line-developers-console,line-developers-console/managing-roles,Managing roles,LINE MINI App channel,View LIFF URL \*,Admin,✅,https://developers.line.biz/en/docs/line-developers-console/managing-roles/
line-developers-console,line-developers-console/managing-roles,Managing roles,LINE MINI App channel,View LIFF URL \*,Tester,✅,https://developers.line.biz/en/docs/line-developers-console/managing-roles/
line-developers-console,line-developers-console/managing-roles,Managing roles,LINE MINI App channel,View LIFF URL \*,No role,❌,https://developers.line.biz/en/docs/line-developers-console/managing-roles/
line-developers-console,line-developers-console/managing-roles,Managing roles,"Adding developers, editing roles, and deleting developers on channel",Edit,Steps,Click Edit and select a role from the dropdown list.,https://developers.line.biz/en/docs/line-developers-console/managing-roles/
line-developers-console,line-developers-console/managing-roles,Managing roles,"Adding developers, editing roles, and deleting developers on channel",Delete,Steps,Select the checkbox next to a member's name and click Delete selected.,https://developers.line.biz/en/docs/line-developers-console/managing-roles/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Types of notifications that can be received,Important announcements,Overview,Important announcements regarding the LINE Platform,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Types of notifications that can be received,Activity,Overview,Your activities on the LINE Developers Console,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Types of notifications that can be received,News,Overview,Announcements from the LINE Developers site,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Types of notifications that can be received,Channel activity,Overview,Activities related to channels that you have the admin role,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Types of notifications that can be received,Provider activity,Overview,Activities related to providers that you have the admin role,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Activity,Operations related to the providers,Activity detail,Create a provider Delete a provider Send an invitation email to join a provider Grant a provider role to your developer account,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Activity,Operations related to the channels,Activity detail,Create a channel Delete a channel Send an invitation email to join a channel Grant a channel role to your developer account,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/notification,Receive notifications via email or the notification center,Channel activity,Channels in general,Activity detail,Delete a channel Add a new member to a channel,https://developers.line.biz/en/docs/line-developers-console/notification/
line-developers-console,line-developers-console/overview,LINE Developers Console overview,The number of providers that can be created,LINE Developers Console restrictions,Description,Each developer can create up to 10 providers. The 11th provider can't be created.,https://developers.line.biz/en/docs/line-developers-console/overview/
line-developers-console,line-developers-console/overview,LINE Developers Console overview,Creating a channel,LINE Login,Description,You can use LINE Account credentials to authenticate users of the service you develop.,https://developers.line.biz/en/docs/line-developers-console/overview/
line-developers-console,line-developers-console/overview,LINE Developers Console overview,Creating a channel,Blockchain Service,Description,You can provide a service that uses blockchain service.,https://developers.line.biz/en/docs/line-developers-console/overview/
line-developers-console,line-developers-console/overview,LINE Developers Console overview,Creating a channel,LINE MINI App,Description,You can provide a service through a LINE MINI App without developing a native app.,https://developers.line.biz/en/docs/line-developers-console/overview/
line-developers-console,line-developers-console/overview,LINE Developers Console overview,The number of channels that can be created,LINE Developers Console restrictions,Description,"Developers can own a maximum of 100 channels with an Admin role under one provider, regardless of the channel type.",https://developers.line.biz/en/docs/line-developers-console/overview/
line-developers-console,line-developers-console/overview,LINE Developers Console overview,The number of channels that can be created,LINE Official Account Manager restrictions,Description,Developers can own a maximum of 100 LINE Official Accounts for each account logged in to the LINE Official Account Manager.,https://developers.line.biz/en/docs/line-developers-console/overview/
line-login,line-login/development-guidelines,LINE Login development guidelines,Time logs for LINE Login API request,8d48c8577e739b9c,Time when API request was made,"Mon, 16 Jul 2021 10:20:22 GMT",https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Time logs for LINE Login API request,8d48c8577e739b9c,Request method,POST,https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Time logs for LINE Login API request,8d48c8577e739b9c,API endpoint,https://api.line.me/oauth2/v2.1/token,https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Time logs for LINE Login API request,8d48c8577e739b9c,Status code,200,https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/getting-started,Getting started with LINE Login,Before you begin,Heroku account,Description,Heroku is a service that offers hosting for web apps. Deploying the starter app to Heroku means you don't need your own server.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Before you begin,Heroku CLI,Description,The Heroku Command Line Interface (CLI) is necessary for using certain Heroku functions.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel type,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel type,Description,The channel type. Select LINE Login to create your LINE Login Channel.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Provider,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Provider,Description,The channel's provider,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Provider,Location displayed to users,Permission consent screen when launching LINE Login or LIFF App,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Region to provide the service,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Company or owner's country or region,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Company or owner's country or region,Description,Country or region of the company or owner that manage the channel,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Company or owner's country or region,Location displayed to users,Permission consent screen when launching LINE Login or LIFF App,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel icon,Required?,❌,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel icon,Description,The channel's icon,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel icon,Location displayed to users,Permission consent screen when launching LINE Login or LIFF App,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel name,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel name,Description,"The channel's name \*Channel name can't contain ""LINE"" or similar strings.",https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel name,Location displayed to users,Permission consent screen when launching LINE Login or LIFF App,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel description,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel description,Description,The channel's description,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Channel description,Location displayed to users,Permission consent screen when launching LINE Login or LIFF App,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,App types,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,App types,Description,"The type of app you plan to integrate LINE Login with. One of: Web app Mobile app \*In the example of deploying a starter app, select Web app.",https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Email address,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Email address,Description,Email address to receive important updates about the channel,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Privacy policy URL,Required?,See description,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Privacy policy URL,Description,The URL of the app's privacy policy. Required if your provider is a certified provider.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Privacy policy URL,Location displayed to users,Permission consent screen when launching LINE Login or LIFF App,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Terms of use URL,Required?,❌,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Terms of use URL,Description,The URL of the app's terms of use,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,Terms of use URL,Location displayed to users,Permission consent screen when launching LINE Login or LIFF App,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,LINE Developers Agreement,Required?,✅,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,LINE Developers Agreement,Description,Read and agree to the LINE Developers Agreement.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,LY Corporation Privacy Policy,Required?,See description,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,Step 1: Create your LINE Login channel,LY Corporation Privacy Policy,Description,Required only if you've selected Thailand as Region to provide the service. Read and acknowledge LY Corporation Privacy Policy.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Channel ID,Description,Unique identifier for the channel,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Region to provide the service,Description,The region you want to provide your LINE Login service. You can only set the region when creating a new channel.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Company or owner's country or region,Description,Country or region of the company or owner that manage the channel,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Channel icon,Description,The channel's icon,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Channel name,Description,The channel's name,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Channel description,Description,The channel's description,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Email address,Description,Email address to receive important updates about the channel,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Privacy policy URL,Description,The URL of the app's privacy policy,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Terms of use URL,Description,The URL of the app's terms of use,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,App types,Description,The type of app you plan to integrate LINE Login with,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Permissions,Description,The type of user data this channel can access,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Channel secret,Description,A unique secret key you can use to grant an app access to your channel,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Assertion Signing Key,Description,The UUIDs associated with your assertion signing key pair,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Your user ID,Description,Your LINE account's user ID,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Linked LINE Official Account,Description,Your LINE Official Account linked to this channel. You can only link a LINE Official Account from the same provider.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Localization,Description,You can add other languages to provide multi-language support for your channel.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Email address permission,Description,Apply for permission to request a user's email using OpenID Connect.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/getting-started,Getting started with LINE Login,LINE Login's basic settings,Delete,Description,Delete this channel.,https://developers.line.biz/en/docs/line-login/getting-started/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,response_type,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,response_type,Required,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,response_type,Description,code,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,client_id,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,client_id,Required,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,client_id,Description,LINE Login Channel ID. You can find this in the LINE Developers Console.,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,redirect_uri,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,redirect_uri,Required,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,redirect_uri,Description,Callback URL registered with the LINE Developers Console,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,state,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,state,Required,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Authenticating users and making authorization requests,state,Description,A unique alphanumeric string used to prevent cross-site request forgery. Your web app should generate a random value for each login session. This cannot be a URL-encoded string.,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving the authorization code,code,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving the authorization code,code,Description,Authorization code used to get an access token. Valid for 10 minutes. This authorization code can only be used once.,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving the authorization code,state,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving the authorization code,state,Description,A unique alphanumeric string used to prevent cross-site request forgery. Verify that this matches the value of the state parameter given to the authorization URL.,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,error_description,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,error_description,Description,The+user+has+denied+the+approval Note: This parameter does not appear in the in-app browser of iOS and Android apps. We are currently working to resolve this issue.,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,errorMessage,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,errorMessage,Description,DISALLOWED,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,errorCode,Type,Number,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,errorCode,Description,417,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,state,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,state,Description,The state parameter included in the authorization URL. You can use this value to determine which process was denied.,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,error,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login-v2,Integrating LINE Login (v2.0) with your web app,Receiving an error response,error,Description,access_denied,https://developers.line.biz/en/docs/line-login/integrate-line-login-v2/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,response_type,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,response_type,Required?,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,response_type,Description,code,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,client_id,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,client_id,Required?,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,client_id,Description,LINE Login Channel ID. You can find this in the LINE Developers Console.,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,redirect_uri,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,redirect_uri,Required?,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,redirect_uri,Description,A URL-encoded string of the callback URL registered on the LINE Developers Console. You can add any query parameter.,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,state,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,state,Required?,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,state,Description,A unique alphanumeric string used to prevent cross-site request forgery. Your web app should generate a random value for each login session. This cannot be a URL-encoded string.,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,scope,Type,String,https://developers.line.biz/en/docs/line-login/integrate-line-login/
line-login,line-login/integrate-line-login,Integrating LINE Login with your web app,Authenticating users and making authorization requests,scope,Required?,Required,https://developers.line.biz/en/docs/line-login/integrate-line-login/
